fusion,component_count,components,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
single_pca_rank_mean,8,iq:pca_residual|ap:pca_residual|fft:pca_residual|stft:pca_residual|cepstral:pca_residual|cyclo:pca_residual|hos:pca_residual|bispectrum:pca_residual,0.9,0.7399062500000001,0.5580957142857143,0.2797222222222222,0.974869109947644,0.266,0.41795735129068473,931,76,24,2569
single_pca_rank_mean,8,iq:pca_residual|ap:pca_residual|fft:pca_residual|stft:pca_residual|cepstral:pca_residual|cyclo:pca_residual|hos:pca_residual|bispectrum:pca_residual,0.95,0.813234375,0.5580957142857143,0.1922222222222222,0.9758842443729904,0.17342857142857143,0.29451722464822905,607,85,15,2893
single_pca_rank_mean,8,iq:pca_residual|ap:pca_residual|fft:pca_residual|stft:pca_residual|cepstral:pca_residual|cyclo:pca_residual|hos:pca_residual|bispectrum:pca_residual,0.97,0.8521843749999997,0.5580957142857143,0.1475,0.9842696629213483,0.12514285714285714,0.2220532319391635,438,93,7,3062
all_relation_pca_rank_mean,28,iq:ap:relation_pca_residual|iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|ap:fft:relation_pca_residual|ap:stft:relation_pca_residual|ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|ap:hos:relation_pca_residual|ap:bispectrum:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|fft:cyclo:relation_pca_residual|fft:hos:relation_pca_residual|fft:bispectrum:relation_pca_residual|stft:cepstral:relation_pca_residual|stft:cyclo:relation_pca_residual|stft:hos:relation_pca_residual|stft:bispectrum:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cepstral:hos:relation_pca_residual|cepstral:bispectrum:relation_pca_residual|cyclo:hos:relation_pca_residual|cyclo:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.9,0.7723035714285714,0.5372485714285714,0.2563888888888889,0.9757225433526011,0.24114285714285713,0.38671248568155786,844,79,21,2656
all_relation_pca_rank_mean,28,iq:ap:relation_pca_residual|iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|ap:fft:relation_pca_residual|ap:stft:relation_pca_residual|ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|ap:hos:relation_pca_residual|ap:bispectrum:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|fft:cyclo:relation_pca_residual|fft:hos:relation_pca_residual|fft:bispectrum:relation_pca_residual|stft:cepstral:relation_pca_residual|stft:cyclo:relation_pca_residual|stft:hos:relation_pca_residual|stft:bispectrum:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cepstral:hos:relation_pca_residual|cepstral:bispectrum:relation_pca_residual|cyclo:hos:relation_pca_residual|cyclo:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.95,0.8268749999999999,0.5372485714285714,0.19972222222222222,0.9768875192604006,0.18114285714285713,0.30561581103880453,634,85,15,2866
all_relation_pca_rank_mean,28,iq:ap:relation_pca_residual|iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|ap:fft:relation_pca_residual|ap:stft:relation_pca_residual|ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|ap:hos:relation_pca_residual|ap:bispectrum:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|fft:cyclo:relation_pca_residual|fft:hos:relation_pca_residual|fft:bispectrum:relation_pca_residual|stft:cepstral:relation_pca_residual|stft:cyclo:relation_pca_residual|stft:hos:relation_pca_residual|stft:bispectrum:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cepstral:hos:relation_pca_residual|cepstral:bispectrum:relation_pca_residual|cyclo:hos:relation_pca_residual|cyclo:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.97,0.8622241071428569,0.5372485714285714,0.16277777777777777,0.9802371541501976,0.1417142857142857,0.24762855716425358,496,90,10,3004
low_cka_relation_pca_rank_mean,7,iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|fft:hos:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.9,0.8205,0.48527714285714285,0.21416666666666667,0.9718706047819972,0.19742857142857143,0.3281880788411304,691,80,20,2809
low_cka_relation_pca_rank_mean,7,iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|fft:hos:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.95,0.8921071428571427,0.48527714285714285,0.17055555555555554,0.9706959706959707,0.15142857142857144,0.26198714780029664,530,84,16,2970
low_cka_relation_pca_rank_mean,7,iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|fft:hos:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.97,0.9082678571428572,0.48527714285714285,0.15861111111111112,0.9738430583501007,0.1382857142857143,0.2421816362271704,484,87,13,3016
high_cka_relation_pca_rank_mean,7,ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|stft:cepstral:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cyclo:hos:relation_pca_residual,0.9,0.7914642857142861,0.5424157142857143,0.2511111111111111,0.9808612440191388,0.2342857142857143,0.37822878228782286,820,84,16,2680
