fusion,component_count,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
single_pca_rank_mean,8,Tx2,0.9,0.7399062500000001,0.51693,0.3283333333333333,0.8344827586206897,0.242,0.3751937984496123,121,76,24,379
single_pca_rank_mean,8,Tx3,0.9,0.7399062500000001,0.55765,0.35833333333333334,0.852760736196319,0.278,0.41930618401206643,139,76,24,361
single_pca_rank_mean,8,Tx4,0.9,0.7399062500000001,0.58319,0.375,0.861271676300578,0.298,0.4427934621099554,149,76,24,351
single_pca_rank_mean,8,Tx5,0.9,0.7399062500000001,0.52972,0.31666666666666665,0.8260869565217391,0.228,0.3573667711598746,114,76,24,386
single_pca_rank_mean,8,Tx6,0.9,0.7399062500000001,0.57347,0.36833333333333335,0.8579881656804734,0.29,0.4334828101644245,145,76,24,355
single_pca_rank_mean,8,Tx7,0.9,0.7399062500000001,0.55228,0.33666666666666667,0.84,0.252,0.38769230769230767,126,76,24,374
single_pca_rank_mean,8,Tx8,0.9,0.7399062500000001,0.59343,0.355,0.8509316770186336,0.274,0.4145234493192133,137,76,24,363
single_pca_rank_mean,8,Tx2,0.95,0.813234375,0.51693,0.285,0.8514851485148515,0.172,0.2861896838602329,86,85,15,414
single_pca_rank_mean,8,Tx3,0.95,0.813234375,0.55765,0.295,0.8598130841121495,0.184,0.3031301482701812,92,85,15,408
single_pca_rank_mean,8,Tx4,0.95,0.813234375,0.58319,0.295,0.8598130841121495,0.184,0.3031301482701812,92,85,15,408
single_pca_rank_mean,8,Tx5,0.95,0.813234375,0.52972,0.27,0.8369565217391305,0.154,0.2601351351351351,77,85,15,423
single_pca_rank_mean,8,Tx6,0.95,0.813234375,0.57347,0.3016666666666667,0.8648648648648649,0.192,0.31423895253682493,96,85,15,404
single_pca_rank_mean,8,Tx7,0.95,0.813234375,0.55228,0.285,0.8514851485148515,0.172,0.2861896838602329,86,85,15,414
single_pca_rank_mean,8,Tx8,0.95,0.813234375,0.59343,0.27166666666666667,0.8387096774193549,0.156,0.2630691399662732,78,85,15,422
single_pca_rank_mean,8,Tx2,0.97,0.8521843749999997,0.51693,0.2683333333333333,0.9066666666666666,0.136,0.2365217391304348,68,93,7,432
single_pca_rank_mean,8,Tx3,0.97,0.8521843749999997,0.55765,0.25833333333333336,0.8985507246376812,0.124,0.21792618629173988,62,93,7,438
single_pca_rank_mean,8,Tx4,0.97,0.8521843749999997,0.58319,0.25833333333333336,0.8985507246376812,0.124,0.21792618629173988,62,93,7,438
single_pca_rank_mean,8,Tx5,0.97,0.8521843749999997,0.52972,0.25666666666666665,0.8970588235294118,0.122,0.2147887323943662,61,93,7,439
single_pca_rank_mean,8,Tx6,0.97,0.8521843749999997,0.57347,0.275,0.9113924050632911,0.144,0.24870466321243523,72,93,7,428
single_pca_rank_mean,8,Tx7,0.97,0.8521843749999997,0.55228,0.25833333333333336,0.8985507246376812,0.124,0.21792618629173988,62,93,7,438
single_pca_rank_mean,8,Tx8,0.97,0.8521843749999997,0.59343,0.24,0.8793103448275862,0.102,0.18279569892473116,51,93,7,449
all_relation_pca_rank_mean,28,Tx2,0.9,0.7723035714285714,0.50941,0.315,0.8396946564885496,0.22,0.34865293185419965,110,79,21,390
all_relation_pca_rank_mean,28,Tx3,0.9,0.7723035714285714,0.5559,0.3333333333333333,0.852112676056338,0.242,0.37694704049844235,121,79,21,379
all_relation_pca_rank_mean,28,Tx4,0.9,0.7723035714285714,0.54309,0.3416666666666667,0.8571428571428571,0.252,0.38948995363214844,126,79,21,374
all_relation_pca_rank_mean,28,Tx5,0.9,0.7723035714285714,0.49715,0.31833333333333336,0.8421052631578947,0.224,0.353870458135861,112,79,21,388
all_relation_pca_rank_mean,28,Tx6,0.9,0.7723035714285714,0.56229,0.37,0.8719512195121951,0.286,0.43072289156626503,143,79,21,357
all_relation_pca_rank_mean,28,Tx7,0.9,0.7723035714285714,0.55173,0.3283333333333333,0.8489208633093526,0.236,0.36932707355242567,118,79,21,382
all_relation_pca_rank_mean,28,Tx8,0.9,0.7723035714285714,0.54117,0.32166666666666666,0.8444444444444444,0.228,0.3590551181102362,114,79,21,386
all_relation_pca_rank_mean,28,Tx2,0.95,0.8268749999999999,0.50941,0.28,0.8469387755102041,0.166,0.27759197324414714,83,85,15,417
all_relation_pca_rank_mean,28,Tx3,0.95,0.8268749999999999,0.5559,0.31166666666666665,0.8717948717948718,0.204,0.33063209076175043,102,85,15,398
all_relation_pca_rank_mean,28,Tx4,0.95,0.8268749999999999,0.54309,0.2816666666666667,0.8484848484848485,0.168,0.28046744574290483,84,85,15,416
all_relation_pca_rank_mean,28,Tx5,0.95,0.8268749999999999,0.49715,0.2783333333333333,0.845360824742268,0.164,0.2747068676716918,82,85,15,418
all_relation_pca_rank_mean,28,Tx6,0.95,0.8268749999999999,0.56229,0.31666666666666665,0.875,0.21,0.33870967741935487,105,85,15,395
all_relation_pca_rank_mean,28,Tx7,0.95,0.8268749999999999,0.55173,0.30333333333333334,0.8660714285714286,0.194,0.3169934640522876,97,85,15,403
all_relation_pca_rank_mean,28,Tx8,0.95,0.8268749999999999,0.54117,0.27666666666666667,0.84375,0.162,0.2718120805369128,81,85,15,419
all_relation_pca_rank_mean,28,Tx2,0.97,0.8622241071428569,0.50941,0.26166666666666666,0.8701298701298701,0.134,0.23223570190641246,67,90,10,433
all_relation_pca_rank_mean,28,Tx3,0.97,0.8622241071428569,0.5559,0.2816666666666667,0.8876404494382022,0.158,0.268251273344652,79,90,10,421
all_relation_pca_rank_mean,28,Tx4,0.97,0.8622241071428569,0.54309,0.255,0.863013698630137,0.126,0.2198952879581152,63,90,10,437
all_relation_pca_rank_mean,28,Tx5,0.97,0.8622241071428569,0.49715,0.26,0.868421052631579,0.132,0.2291666666666667,66,90,10,434
all_relation_pca_rank_mean,28,Tx6,0.97,0.8622241071428569,0.56229,0.2866666666666667,0.8913043478260869,0.164,0.2770270270270271,82,90,10,418
all_relation_pca_rank_mean,28,Tx7,0.97,0.8622241071428569,0.55173,0.28833333333333333,0.8924731182795699,0.166,0.27993254637436765,83,90,10,417
all_relation_pca_rank_mean,28,Tx8,0.97,0.8622241071428569,0.54117,0.24333333333333335,0.8484848484848485,0.112,0.19787985865724383,56,90,10,444
low_cka_relation_pca_rank_mean,7,Tx2,0.9,0.8205,0.48221,0.2916666666666667,0.8260869565217391,0.19,0.3089430894308943,95,80,20,405
low_cka_relation_pca_rank_mean,7,Tx3,0.9,0.8205,0.50067,0.3016666666666667,0.8347107438016529,0.202,0.3252818035426731,101,80,20,399
low_cka_relation_pca_rank_mean,7,Tx4,0.9,0.8205,0.47999,0.3016666666666667,0.8347107438016529,0.202,0.3252818035426731,101,80,20,399
low_cka_relation_pca_rank_mean,7,Tx5,0.9,0.8205,0.42829,0.2816666666666667,0.8165137614678899,0.178,0.2922824302134647,89,80,20,411
low_cka_relation_pca_rank_mean,7,Tx6,0.9,0.8205,0.51859,0.32,0.8484848484848485,0.224,0.35443037974683544,112,80,20,388
low_cka_relation_pca_rank_mean,7,Tx7,0.9,0.8205,0.51401,0.31,0.8412698412698413,0.212,0.3386581469648562,106,80,20,394
low_cka_relation_pca_rank_mean,7,Tx8,0.9,0.8205,0.47318,0.2783333333333333,0.8130841121495327,0.174,0.28665568369028005,87,80,20,413
low_cka_relation_pca_rank_mean,7,Tx2,0.95,0.8921071428571427,0.48221,0.2733333333333333,0.8333333333333334,0.16,0.2684563758389262,80,84,16,420
low_cka_relation_pca_rank_mean,7,Tx3,0.95,0.8921071428571427,0.50067,0.2783333333333333,0.8383838383838383,0.166,0.27712854757929883,83,84,16,417
