pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:ap,relation_zdist,Tx2,0.9,2.1936066669799654,0.4599,0.27166666666666667,0.8181818181818182,0.162,0.2704507512520868,81,82,18,419
iq:ap,relation_zdist,Tx3,0.9,2.1936066669799654,0.4671,0.2833333333333333,0.8301886792452831,0.176,0.29042904290429045,88,82,18,412
iq:ap,relation_zdist,Tx4,0.9,2.1936066669799654,0.48538,0.2833333333333333,0.8301886792452831,0.176,0.29042904290429045,88,82,18,412
iq:ap,relation_zdist,Tx5,0.9,2.1936066669799654,0.44498,0.25666666666666665,0.8,0.144,0.24406779661016947,72,82,18,428
iq:ap,relation_zdist,Tx6,0.9,2.1936066669799654,0.45552,0.27166666666666667,0.8181818181818182,0.162,0.2704507512520868,81,82,18,419
iq:ap,relation_zdist,Tx7,0.9,2.1936066669799654,0.46306,0.2833333333333333,0.8301886792452831,0.176,0.29042904290429045,88,82,18,412
iq:ap,relation_zdist,Tx8,0.9,2.1936066669799654,0.49546,0.24333333333333335,0.7804878048780488,0.128,0.21993127147766323,64,82,18,436
iq:ap,relation_zdist,Tx2,0.95,4.094393708157549,0.4599,0.25333333333333335,0.8513513513513513,0.126,0.21951219512195122,63,89,11,437
iq:ap,relation_zdist,Tx3,0.95,4.094393708157549,0.4671,0.24833333333333332,0.8450704225352113,0.12,0.21015761821366022,60,89,11,440
iq:ap,relation_zdist,Tx4,0.95,4.094393708157549,0.48538,0.24666666666666667,0.8428571428571429,0.118,0.20701754385964913,59,89,11,441
iq:ap,relation_zdist,Tx5,0.95,4.094393708157549,0.44498,0.24333333333333335,0.8382352941176471,0.114,0.2007042253521127,57,89,11,443
iq:ap,relation_zdist,Tx6,0.95,4.094393708157549,0.45552,0.25833333333333336,0.8571428571428571,0.132,0.22876949740034663,66,89,11,434
iq:ap,relation_zdist,Tx7,0.95,4.094393708157549,0.46306,0.25,0.8472222222222222,0.122,0.21328671328671328,61,89,11,439
iq:ap,relation_zdist,Tx8,0.95,4.094393708157549,0.49546,0.205,0.7555555555555555,0.068,0.12477064220183486,34,89,11,466
iq:ap,relation_zdist,Tx2,0.97,6.199780105517112,0.4599,0.22,0.8333333333333334,0.08,0.145985401459854,40,92,8,460
iq:ap,relation_zdist,Tx3,0.97,6.199780105517112,0.4671,0.23,0.8518518518518519,0.092,0.16606498194945848,46,92,8,454
iq:ap,relation_zdist,Tx4,0.97,6.199780105517112,0.48538,0.22166666666666668,0.8367346938775511,0.082,0.14936247723132973,41,92,8,459
iq:ap,relation_zdist,Tx5,0.97,6.199780105517112,0.44498,0.22833333333333333,0.8490566037735849,0.09,0.162748643761302,45,92,8,455
iq:ap,relation_zdist,Tx6,0.97,6.199780105517112,0.45552,0.23,0.8518518518518519,0.092,0.16606498194945848,46,92,8,454
iq:ap,relation_zdist,Tx7,0.97,6.199780105517112,0.46306,0.23666666666666666,0.8620689655172413,0.1,0.1792114695340502,50,92,8,450
iq:ap,relation_zdist,Tx8,0.97,6.199780105517112,0.49546,0.18666666666666668,0.7142857142857143,0.04,0.07575757575757576,20,92,8,480
iq:ap,relation_pca_residual,Tx2,0.9,0.3308703881681182,0.49714,0.2866666666666667,0.8214285714285714,0.184,0.3006535947712418,92,80,20,408
iq:ap,relation_pca_residual,Tx3,0.9,0.3308703881681182,0.49494,0.295,0.8290598290598291,0.194,0.3144246353322528,97,80,20,403
iq:ap,relation_pca_residual,Tx4,0.9,0.3308703881681182,0.4711,0.30666666666666664,0.8387096774193549,0.208,0.3333333333333333,104,80,20,396
iq:ap,relation_pca_residual,Tx5,0.9,0.3308703881681182,0.43316,0.2733333333333333,0.8076923076923077,0.168,0.2781456953642384,84,80,20,416
iq:ap,relation_pca_residual,Tx6,0.9,0.3308703881681182,0.54214,0.29333333333333333,0.8275862068965517,0.192,0.3116883116883117,96,80,20,404
iq:ap,relation_pca_residual,Tx7,0.9,0.3308703881681182,0.47172,0.30333333333333334,0.8360655737704918,0.204,0.3279742765273312,102,80,20,398
iq:ap,relation_pca_residual,Tx8,0.9,0.3308703881681182,0.5139,0.285,0.8198198198198198,0.182,0.2978723404255319,91,80,20,409
iq:ap,relation_pca_residual,Tx2,0.95,0.455325973792303,0.49714,0.2783333333333333,0.8526315789473684,0.162,0.27226890756302524,81,86,14,419
iq:ap,relation_pca_residual,Tx3,0.95,0.455325973792303,0.49494,0.2833333333333333,0.8571428571428571,0.168,0.2809364548494983,84,86,14,416
iq:ap,relation_pca_residual,Tx4,0.95,0.455325973792303,0.4711,0.2816666666666667,0.8556701030927835,0.166,0.27805695142378556,83,86,14,417
iq:ap,relation_pca_residual,Tx5,0.95,0.455325973792303,0.43316,0.265,0.8390804597701149,0.146,0.24872231686541738,73,86,14,427
iq:ap,relation_pca_residual,Tx6,0.95,0.455325973792303,0.54214,0.2866666666666667,0.86,0.172,0.2866666666666666,86,86,14,414
iq:ap,relation_pca_residual,Tx7,0.95,0.455325973792303,0.47172,0.285,0.8585858585858586,0.17,0.2838063439065109,85,86,14,415
iq:ap,relation_pca_residual,Tx8,0.95,0.455325973792303,0.5139,0.25666666666666665,0.8292682926829268,0.136,0.23367697594501718,68,86,14,432
iq:ap,relation_pca_residual,Tx2,0.97,0.6024711527504768,0.49714,0.27166666666666667,0.8795180722891566,0.146,0.2504288164665523,73,90,10,427
iq:ap,relation_pca_residual,Tx3,0.97,0.6024711527504768,0.49494,0.2683333333333333,0.8765432098765432,0.142,0.2444061962134251,71,90,10,429
iq:ap,relation_pca_residual,Tx4,0.97,0.6024711527504768,0.4711,0.26666666666666666,0.875,0.14,0.24137931034482757,70,90,10,430
iq:ap,relation_pca_residual,Tx5,0.97,0.6024711527504768,0.43316,0.255,0.863013698630137,0.126,0.2198952879581152,63,90,10,437
iq:ap,relation_pca_residual,Tx6,0.97,0.6024711527504768,0.54214,0.27166666666666667,0.8795180722891566,0.146,0.2504288164665523,73,90,10,427
iq:ap,relation_pca_residual,Tx7,0.97,0.6024711527504768,0.47172,0.2816666666666667,0.8876404494382022,0.158,0.268251273344652,79,90,10,421
iq:ap,relation_pca_residual,Tx8,0.97,0.6024711527504768,0.5139,0.24,0.84375,0.108,0.19148936170212766,54,90,10,446
iq:ap,relation_shrinkage_mahalanobis,Tx2,0.9,76.62523901877604,0.47672,0.2733333333333333,0.82,0.164,0.2733333333333333,82,82,18,418
iq:ap,relation_shrinkage_mahalanobis,Tx3,0.9,76.62523901877604,0.50006,0.29,0.8363636363636363,0.184,0.30163934426229505,92,82,18,408
iq:ap,relation_shrinkage_mahalanobis,Tx4,0.9,76.62523901877604,0.50978,0.285,0.8317757009345794,0.178,0.2932454695222405,89,82,18,411
iq:ap,relation_shrinkage_mahalanobis,Tx5,0.9,76.62523901877604,0.4734,0.265,0.8105263157894737,0.154,0.2588235294117647,77,82,18,423
