representation,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq,zdist,0.9,1.7449565152975337,0.46949714285714284,0.18388888888888888,0.9746621621621622,0.16485714285714287,0.2820136852394917,577,85,15,2923
iq,zdist,0.95,2.3165442531472182,0.46949714285714284,0.14805555555555555,0.9843400447427293,0.12571428571428572,0.22295414238662278,440,93,7,3060
iq,zdist,0.97,2.839568142222611,0.46949714285714284,0.11777777777777777,0.9850299401197605,0.094,0.17162232655190401,329,95,5,3171
iq,pca_residual,0.9,0.040989050875074755,0.49054857142857144,0.21222222222222223,0.9702549575070821,0.1957142857142857,0.3257251545411317,685,79,21,2815
iq,pca_residual,0.95,0.06292530691260388,0.49054857142857144,0.1761111111111111,0.9667832167832168,0.158,0.27161100196463656,553,81,19,2947
iq,pca_residual,0.97,0.08635738021334186,0.49054857142857144,0.14583333333333334,0.9690949227373068,0.12542857142857142,0.22210979003288642,439,86,14,3061
iq,shrinkage_mahalanobis,0.9,57.99324124123005,0.4762,0.19583333333333333,0.9689922480620154,0.17857142857142858,0.30156815440289503,625,80,20,2875
iq,shrinkage_mahalanobis,0.95,84.3628626820307,0.4762,0.16,0.9817813765182186,0.13857142857142857,0.242864296444667,485,91,9,3015
iq,shrinkage_mahalanobis,0.97,112.64356702398175,0.4762,0.125,0.9834254143646409,0.10171428571428572,0.184360435007768,356,94,6,3144
ap,zdist,0.9,2.5002230381320514,0.49578,0.13722222222222222,0.9624413145539906,0.11714285714285715,0.2088639836984208,410,84,16,3090
ap,zdist,0.95,3.9959959074112428,0.49578,0.09583333333333334,0.9622641509433962,0.07285714285714286,0.13545816733067725,255,90,10,3245
ap,zdist,0.97,6.050432484891079,0.49578,0.07111111111111111,0.975609756097561,0.045714285714285714,0.08733624454148471,160,96,4,3340
ap,pca_residual,0.9,0.029092866965176573,0.55876,0.23916666666666667,0.9810366624525917,0.22171428571428572,0.36168725238872057,776,85,15,2724
ap,pca_residual,0.95,0.039059783342522574,0.55876,0.17583333333333334,0.9854280510018215,0.15457142857142858,0.2672264756730057,541,92,8,2959
ap,pca_residual,0.97,0.04618935212920518,0.55876,0.14472222222222222,0.9839080459770115,0.12228571428571429,0.21753494282083863,428,93,7,3072
ap,shrinkage_mahalanobis,0.9,44.84222516057685,0.5490857142857143,0.18416666666666667,0.966832504145937,0.16657142857142856,0.28418230563002683,583,80,20,2917
ap,shrinkage_mahalanobis,0.95,61.330845681684536,0.5490857142857143,0.13194444444444445,0.9722921914357683,0.11028571428571429,0.19810110341288173,386,89,11,3114
ap,shrinkage_mahalanobis,0.97,74.59569967689372,0.5490857142857143,0.10333333333333333,0.9689655172413794,0.08028571428571428,0.14828496042216358,281,91,9,3219
fft,zdist,0.9,2.443017911131731,0.5308714285714285,0.14194444444444446,0.963882618510158,0.122,0.2165863555668273,427,84,16,3073
fft,zdist,0.95,2.820865411824624,0.5308714285714285,0.09888888888888889,0.9776119402985075,0.07485714285714286,0.13906581740976645,262,94,6,3238
fft,zdist,0.97,3.2666685939120614,0.5308714285714285,0.06972222222222223,0.9631901840490797,0.04485714285714286,0.08572208572208573,157,94,6,3343
fft,pca_residual,0.9,0.017844971660956405,0.5796828571428572,0.28805555555555556,0.9795291709314228,0.2734285714285714,0.42751842751842745,957,80,20,2543
fft,pca_residual,0.95,0.021495807480805658,0.5796828571428572,0.22277777777777777,0.975609756097561,0.2057142857142857,0.33978291647003306,720,82,18,2780
fft,pca_residual,0.97,0.028977173837394843,0.5796828571428572,0.15777777777777777,0.9875,0.13542857142857143,0.23819095477386934,474,94,6,3026
fft,shrinkage_mahalanobis,0.9,49.10370321974699,0.5661628571428572,0.24,0.9775,0.22342857142857142,0.3637209302325582,782,82,18,2718
fft,shrinkage_mahalanobis,0.95,64.4944437147885,0.5661628571428572,0.16972222222222222,0.9829867674858223,0.14857142857142858,0.2581285678828493,520,91,9,2980
fft,shrinkage_mahalanobis,0.97,70.6430551797449,0.5661628571428572,0.15916666666666668,0.983640081799591,0.13742857142857143,0.2411631987966909,481,92,8,3019
stft,zdist,0.9,1.8206217539366136,0.48149142857142857,0.16833333333333333,0.9720149253731343,0.14885714285714285,0.2581764122893954,521,85,15,2979
stft,zdist,0.95,2.4277337971311836,0.48149142857142857,0.08777777777777777,0.9736842105263158,0.06342857142857143,0.11909871244635192,222,94,6,3278
stft,zdist,0.97,2.6359309788939895,0.48149142857142857,0.07388888888888889,0.9715909090909091,0.048857142857142856,0.09303590859630033,171,95,5,3329
stft,pca_residual,0.9,0.20928780206903136,0.5221114285714286,0.19305555555555556,0.9790660225442834,0.1737142857142857,0.2950740111623392,608,87,13,2892
stft,pca_residual,0.95,0.2540629906727557,0.5221114285714286,0.13527777777777777,0.9801488833746899,0.11285714285714285,0.20240840379195493,395,92,8,3105
stft,pca_residual,0.97,0.31477210095821034,0.5221114285714286,0.08722222222222223,0.9819819819819819,0.062285714285714285,0.11714132186996239,218,96,4,3282
stft,shrinkage_mahalanobis,0.9,174.19046834095926,0.5178171428571429,0.3647222222222222,0.9749412685982772,0.3557142857142857,0.5212476449654595,1245,68,32,2255
stft,shrinkage_mahalanobis,0.95,190.26689990131976,0.5178171428571429,0.31777777777777777,0.9771480804387569,0.30542857142857144,0.46538963865912064,1069,75,25,2431
