representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq,zdist,Tx2,0.9,1.7449565152975337,0.52326,0.29333333333333333,0.8584905660377359,0.182,0.3003300330033003,91,85,15,409
iq,zdist,Tx3,0.9,1.7449565152975337,0.45976,0.29333333333333333,0.8584905660377359,0.182,0.3003300330033003,91,85,15,409
iq,zdist,Tx4,0.9,1.7449565152975337,0.46416,0.285,0.8514851485148515,0.172,0.2861896838602329,86,85,15,414
iq,zdist,Tx5,0.9,1.7449565152975337,0.45408,0.275,0.8421052631578947,0.16,0.26890756302521013,80,85,15,420
iq,zdist,Tx6,0.9,1.7449565152975337,0.4719,0.2866666666666667,0.8529411764705882,0.174,0.2890365448504983,87,85,15,413
iq,zdist,Tx7,0.9,1.7449565152975337,0.46926,0.2866666666666667,0.8529411764705882,0.174,0.2890365448504983,87,85,15,413
iq,zdist,Tx8,0.9,1.7449565152975337,0.44406,0.23333333333333334,0.7857142857142857,0.11,0.19298245614035087,55,85,15,445
iq,zdist,Tx2,0.95,2.3165442531472182,0.52326,0.2683333333333333,0.9066666666666666,0.136,0.2365217391304348,68,93,7,432
iq,zdist,Tx3,0.95,2.3165442531472182,0.45976,0.2783333333333333,0.9135802469135802,0.148,0.2547332185886403,74,93,7,426
iq,zdist,Tx4,0.95,2.3165442531472182,0.46416,0.25333333333333335,0.8939393939393939,0.118,0.20848056537102472,59,93,7,441
iq,zdist,Tx5,0.95,2.3165442531472182,0.45408,0.2733333333333333,0.9102564102564102,0.142,0.24567474048442903,71,93,7,429
iq,zdist,Tx6,0.95,2.3165442531472182,0.4719,0.26666666666666666,0.9054054054054054,0.134,0.2334494773519164,67,93,7,433
iq,zdist,Tx7,0.95,2.3165442531472182,0.46926,0.27666666666666667,0.9125,0.146,0.25172413793103443,73,93,7,427
iq,zdist,Tx8,0.95,2.3165442531472182,0.44406,0.20166666666666666,0.8,0.056,0.10467289719626169,28,93,7,472
iq,zdist,Tx2,0.97,2.839568142222611,0.52326,0.24,0.9074074074074074,0.098,0.17689530685920576,49,95,5,451
iq,zdist,Tx3,0.97,2.839568142222611,0.45976,0.25333333333333335,0.9193548387096774,0.114,0.20284697508896798,57,95,5,443
iq,zdist,Tx4,0.97,2.839568142222611,0.46416,0.22833333333333333,0.8936170212765957,0.084,0.15356489945155394,42,95,5,458
iq,zdist,Tx5,0.97,2.839568142222611,0.45408,0.25333333333333335,0.9193548387096774,0.114,0.20284697508896798,57,95,5,443
iq,zdist,Tx6,0.97,2.839568142222611,0.4719,0.25,0.9166666666666666,0.11,0.19642857142857142,55,95,5,445
iq,zdist,Tx7,0.97,2.839568142222611,0.46926,0.24833333333333332,0.9152542372881356,0.108,0.19320214669051877,54,95,5,446
iq,zdist,Tx8,0.97,2.839568142222611,0.44406,0.18333333333333332,0.75,0.03,0.05769230769230769,15,95,5,485
iq,pca_residual,Tx2,0.9,0.040989050875074755,0.47356,0.2833333333333333,0.8125,0.182,0.29738562091503273,91,79,21,409
iq,pca_residual,Tx3,0.9,0.040989050875074755,0.49652,0.31333333333333335,0.8384615384615385,0.218,0.34603174603174597,109,79,21,391
iq,pca_residual,Tx4,0.9,0.040989050875074755,0.48992,0.2916666666666667,0.8205128205128205,0.192,0.31118314424635335,96,79,21,404
iq,pca_residual,Tx5,0.9,0.040989050875074755,0.46946,0.27666666666666667,0.8055555555555556,0.174,0.2861842105263158,87,79,21,413
iq,pca_residual,Tx6,0.9,0.040989050875074755,0.4924,0.29833333333333334,0.8264462809917356,0.2,0.322061191626409,100,79,21,400
iq,pca_residual,Tx7,0.9,0.040989050875074755,0.49094,0.295,0.8235294117647058,0.196,0.3166397415185784,98,79,21,402
iq,pca_residual,Tx8,0.9,0.040989050875074755,0.52104,0.305,0.832,0.208,0.3328,104,79,21,396
