fusion,component_count,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
single_pca_rank_mean,8,Tx1,0.9,0.7412656250000003,100,15,85,0.15,0.5213812499999999,0.7851640624999999
single_pca_rank_mean,8,Tx2,0.9,0.7412656250000003,100,11,89,0.11,0.49974296875,0.838046875
single_pca_rank_mean,8,Tx3,0.9,0.7412656250000003,100,15,85,0.15,0.5127359375000001,0.8003593749999999
single_pca_rank_mean,8,Tx4,0.9,0.7412656250000003,100,12,88,0.12,0.5222406249999999,0.7957734375000001
single_pca_rank_mean,8,Tx1,0.95,0.79823828125,100,5,95,0.05,0.5213812499999999,0.7851640624999999
single_pca_rank_mean,8,Tx2,0.95,0.79823828125,100,8,92,0.08,0.49974296875,0.838046875
single_pca_rank_mean,8,Tx3,0.95,0.79823828125,100,6,94,0.06,0.5127359375000001,0.8003593749999999
single_pca_rank_mean,8,Tx4,0.95,0.79823828125,100,5,95,0.05,0.5222406249999999,0.7957734375000001
single_pca_rank_mean,8,Tx1,0.97,0.8297671874999999,100,2,98,0.02,0.5213812499999999,0.7851640624999999
single_pca_rank_mean,8,Tx2,0.97,0.8297671874999999,100,7,93,0.07,0.49974296875,0.838046875
single_pca_rank_mean,8,Tx3,0.97,0.8297671874999999,100,4,96,0.04,0.5127359375000001,0.8003593749999999
single_pca_rank_mean,8,Tx4,0.97,0.8297671874999999,100,3,97,0.03,0.5222406249999999,0.7957734375000001
all_relation_pca_rank_mean,28,Tx1,0.9,0.7894620535714286,100,14,86,0.14,0.5359834821428572,0.8400345982142857
all_relation_pca_rank_mean,28,Tx2,0.9,0.7894620535714286,100,14,86,0.14,0.5027819196428571,0.8713660714285715
all_relation_pca_rank_mean,28,Tx3,0.9,0.7894620535714286,100,20,80,0.2,0.5309944196428571,0.8762723214285715
all_relation_pca_rank_mean,28,Tx4,0.9,0.7894620535714286,100,12,88,0.12,0.5116433035714286,0.814482142857143
all_relation_pca_rank_mean,28,Tx1,0.95,0.8397109375,100,5,95,0.05,0.5359834821428572,0.8400345982142857
all_relation_pca_rank_mean,28,Tx2,0.95,0.8397109375,100,9,91,0.09,0.5027819196428571,0.8713660714285715
all_relation_pca_rank_mean,28,Tx3,0.95,0.8397109375,100,13,87,0.13,0.5309944196428571,0.8762723214285715
all_relation_pca_rank_mean,28,Tx4,0.95,0.8397109375,100,4,96,0.04,0.5116433035714286,0.814482142857143
all_relation_pca_rank_mean,28,Tx1,0.97,0.8679774553571429,100,4,96,0.04,0.5359834821428572,0.8400345982142857
all_relation_pca_rank_mean,28,Tx2,0.97,0.8679774553571429,100,6,94,0.06,0.5027819196428571,0.8713660714285715
all_relation_pca_rank_mean,28,Tx3,0.97,0.8679774553571429,100,6,94,0.06,0.5309944196428571,0.8762723214285715
all_relation_pca_rank_mean,28,Tx4,0.97,0.8679774553571429,100,1,99,0.01,0.5116433035714286,0.814482142857143
low_cka_relation_pca_rank_mean,7,Tx1,0.9,0.8370357142857144,100,11,89,0.11,0.5395973214285714,0.9188258928571428
low_cka_relation_pca_rank_mean,7,Tx2,0.9,0.8370357142857144,100,12,88,0.12,0.5032125,0.9298348214285715
low_cka_relation_pca_rank_mean,7,Tx3,0.9,0.8370357142857144,100,19,81,0.19,0.5307910714285714,0.9287857142857143
low_cka_relation_pca_rank_mean,7,Tx4,0.9,0.8370357142857144,100,10,90,0.1,0.4983053571428572,0.8657991071428572
low_cka_relation_pca_rank_mean,7,Tx1,0.95,0.9003883928571428,100,7,93,0.07,0.5395973214285714,0.9188258928571428
low_cka_relation_pca_rank_mean,7,Tx2,0.95,0.9003883928571428,100,9,91,0.09,0.5032125,0.9298348214285715
low_cka_relation_pca_rank_mean,7,Tx3,0.95,0.9003883928571428,100,10,90,0.1,0.5307910714285714,0.9287857142857143
low_cka_relation_pca_rank_mean,7,Tx4,0.95,0.9003883928571428,100,3,97,0.03,0.4983053571428572,0.8657991071428572
low_cka_relation_pca_rank_mean,7,Tx1,0.97,0.9291098214285715,100,5,95,0.05,0.5395973214285714,0.9188258928571428
low_cka_relation_pca_rank_mean,7,Tx2,0.97,0.9291098214285715,100,5,95,0.05,0.5032125,0.9298348214285715
low_cka_relation_pca_rank_mean,7,Tx3,0.97,0.9291098214285715,100,5,95,0.05,0.5307910714285714,0.9287857142857143
low_cka_relation_pca_rank_mean,7,Tx4,0.97,0.9291098214285715,100,2,98,0.02,0.4983053571428572,0.8657991071428572
high_cka_relation_pca_rank_mean,7,Tx1,0.9,0.7931428571428571,100,12,88,0.12,0.5362410714285715,0.8678169642857142
high_cka_relation_pca_rank_mean,7,Tx2,0.9,0.7931428571428571,100,15,85,0.15,0.5087080357142857,0.8967142857142857
high_cka_relation_pca_rank_mean,7,Tx3,0.9,0.7931428571428571,100,20,80,0.2,0.5251544642857141,0.8746116071428572
high_cka_relation_pca_rank_mean,7,Tx4,0.9,0.7931428571428571,100,10,90,0.1,0.5172348214285715,0.8099151785714286
high_cka_relation_pca_rank_mean,7,Tx1,0.95,0.8525267857142855,100,7,93,0.07,0.5362410714285715,0.8678169642857142
high_cka_relation_pca_rank_mean,7,Tx2,0.95,0.8525267857142855,100,9,91,0.09,0.5087080357142857,0.8967142857142857
high_cka_relation_pca_rank_mean,7,Tx3,0.95,0.8525267857142855,100,8,92,0.08,0.5251544642857141,0.8746116071428572
high_cka_relation_pca_rank_mean,7,Tx4,0.95,0.8525267857142855,100,3,97,0.03,0.5172348214285715,0.8099151785714286
high_cka_relation_pca_rank_mean,7,Tx1,0.97,0.8845017857142857,100,2,98,0.02,0.5362410714285715,0.8678169642857142
high_cka_relation_pca_rank_mean,7,Tx2,0.97,0.8845017857142857,100,6,94,0.06,0.5087080357142857,0.8967142857142857
high_cka_relation_pca_rank_mean,7,Tx3,0.97,0.8845017857142857,100,5,95,0.05,0.5251544642857141,0.8746116071428572
high_cka_relation_pca_rank_mean,7,Tx4,0.97,0.8845017857142857,100,2,98,0.02,0.5172348214285715,0.8099151785714286
low_cka_relation_mahal_rank_mean,7,Tx1,0.9,0.8843035714285715,100,9,91,0.09,0.5368937500000001,0.9361696428571428
low_cka_relation_mahal_rank_mean,7,Tx2,0.9,0.8843035714285715,100,14,86,0.14,0.5076428571428572,0.9440848214285714
low_cka_relation_mahal_rank_mean,7,Tx3,0.9,0.8843035714285715,100,20,80,0.2,0.5286580357142857,0.9386785714285714
low_cka_relation_mahal_rank_mean,7,Tx4,0.9,0.8843035714285715,100,7,93,0.07,0.4963598214285713,0.8896696428571428
low_cka_relation_mahal_rank_mean,7,Tx1,0.95,0.9260892857142857,100,7,93,0.07,0.5368937500000001,0.9361696428571428
low_cka_relation_mahal_rank_mean,7,Tx2,0.95,0.9260892857142857,100,8,92,0.08,0.5076428571428572,0.9440848214285714
low_cka_relation_mahal_rank_mean,7,Tx3,0.95,0.9260892857142857,100,10,90,0.1,0.5286580357142857,0.9386785714285714
low_cka_relation_mahal_rank_mean,7,Tx4,0.95,0.9260892857142857,100,2,98,0.02,0.4963598214285713,0.8896696428571428
low_cka_relation_mahal_rank_mean,7,Tx1,0.97,0.9480410714285713,100,3,97,0.03,0.5368937500000001,0.9361696428571428
low_cka_relation_mahal_rank_mean,7,Tx2,0.97,0.9480410714285713,100,5,95,0.05,0.5076428571428572,0.9440848214285714
low_cka_relation_mahal_rank_mean,7,Tx3,0.97,0.9480410714285713,100,3,97,0.03,0.5286580357142857,0.9386785714285714
low_cka_relation_mahal_rank_mean,7,Tx4,0.97,0.9480410714285713,100,2,98,0.02,0.4963598214285713,0.8896696428571428
