fusion,component_count,components,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
single_pca_rank_mean,8,iq:pca_residual|ap:pca_residual|fft:pca_residual|stft:pca_residual|cepstral:pca_residual|cyclo:pca_residual|hos:pca_residual|bispectrum:pca_residual,0.9,0.7412656250000003,0.5003125,0.5140251953125,0.52765015625,0.013624960937499986,0.8182460937499999,0.5165234375000001,0.522225625,0.25375,0.8317460317460318,0.131,0.22634989200863934,262,347,53,1738
single_pca_rank_mean,8,iq:pca_residual|ap:pca_residual|fft:pca_residual|stft:pca_residual|cepstral:pca_residual|cyclo:pca_residual|hos:pca_residual|bispectrum:pca_residual,0.95,0.79823828125,0.5003125,0.5140251953125,0.52765015625,0.013624960937499986,0.8182460937499999,0.5165234375000001,0.522225625,0.21625,0.8562874251497006,0.0715,0.13197969543147206,143,376,24,1857
single_pca_rank_mean,8,iq:pca_residual|ap:pca_residual|fft:pca_residual|stft:pca_residual|cepstral:pca_residual|cyclo:pca_residual|hos:pca_residual|bispectrum:pca_residual,0.97,0.8297671874999999,0.5003125,0.5140251953125,0.52765015625,0.013624960937499986,0.8182460937499999,0.5165234375000001,0.522225625,0.195,0.84,0.042,0.08,84,384,16,1916
all_relation_pca_rank_mean,28,iq:ap:relation_pca_residual|iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|ap:fft:relation_pca_residual|ap:stft:relation_pca_residual|ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|ap:hos:relation_pca_residual|ap:bispectrum:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|fft:cyclo:relation_pca_residual|fft:hos:relation_pca_residual|fft:bispectrum:relation_pca_residual|stft:cepstral:relation_pca_residual|stft:cyclo:relation_pca_residual|stft:hos:relation_pca_residual|stft:bispectrum:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cepstral:hos:relation_pca_residual|cepstral:bispectrum:relation_pca_residual|cyclo:hos:relation_pca_residual|cyclo:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.9,0.7894620535714286,0.5003125,0.52035078125,0.5153665290178572,-0.004984252232142827,0.8644899553571427,0.49108258928571424,0.496154375,0.24333333333333335,0.8026315789473685,0.122,0.21180555555555555,244,340,60,1756
all_relation_pca_rank_mean,28,iq:ap:relation_pca_residual|iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|ap:fft:relation_pca_residual|ap:stft:relation_pca_residual|ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|ap:hos:relation_pca_residual|ap:bispectrum:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|fft:cyclo:relation_pca_residual|fft:hos:relation_pca_residual|fft:bispectrum:relation_pca_residual|stft:cepstral:relation_pca_residual|stft:cyclo:relation_pca_residual|stft:hos:relation_pca_residual|stft:bispectrum:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cepstral:hos:relation_pca_residual|cepstral:bispectrum:relation_pca_residual|cyclo:hos:relation_pca_residual|cyclo:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.95,0.8397109375,0.5003125,0.52035078125,0.5153665290178572,-0.004984252232142827,0.8644899553571427,0.49108258928571424,0.496154375,0.20875,0.8098159509202454,0.066,0.12205270457697642,132,369,31,1868
all_relation_pca_rank_mean,28,iq:ap:relation_pca_residual|iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|ap:fft:relation_pca_residual|ap:stft:relation_pca_residual|ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|ap:hos:relation_pca_residual|ap:bispectrum:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|fft:cyclo:relation_pca_residual|fft:hos:relation_pca_residual|fft:bispectrum:relation_pca_residual|stft:cepstral:relation_pca_residual|stft:cyclo:relation_pca_residual|stft:hos:relation_pca_residual|stft:bispectrum:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cepstral:hos:relation_pca_residual|cepstral:bispectrum:relation_pca_residual|cyclo:hos:relation_pca_residual|cyclo:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.97,0.8679774553571429,0.5003125,0.52035078125,0.5153665290178572,-0.004984252232142827,0.8644899553571427,0.49108258928571424,0.496154375,0.19166666666666668,0.8191489361702128,0.0385,0.07354345749761224,77,383,17,1923
low_cka_relation_pca_rank_mean,7,iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.9,0.8370357142857144,0.5003125,0.5179765625,0.5133290625,-0.004647500000000027,0.9225312499999999,0.47290178571428576,0.4975175,0.2475,0.825503355704698,0.123,0.21409921671018275,246,348,52,1754
low_cka_relation_pca_rank_mean,7,iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.95,0.9003883928571428,0.5003125,0.5179765625,0.5133290625,-0.004647500000000027,0.9225312499999999,0.47290178571428576,0.4975175,0.20958333333333334,0.8198757763975155,0.066,0.12216566404442387,132,371,29,1868
low_cka_relation_pca_rank_mean,7,iq:fft:relation_pca_residual|iq:stft:relation_pca_residual|iq:cepstral:relation_pca_residual|iq:cyclo:relation_pca_residual|iq:hos:relation_pca_residual|iq:bispectrum:relation_pca_residual|hos:bispectrum:relation_pca_residual,0.97,0.9291098214285715,0.5003125,0.5179765625,0.5133290625,-0.004647500000000027,0.9225312499999999,0.47290178571428576,0.4975175,0.19125,0.8172043010752689,0.038,0.07262302914476827,76,383,17,1924
high_cka_relation_pca_rank_mean,7,ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|stft:cepstral:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cyclo:hos:relation_pca_residual,0.9,0.7931428571428571,0.5003125,0.5218345982142857,0.5096794196428571,-0.01215517857142856,0.8687723214285714,0.4924107142857143,0.4833325,0.24,0.803448275862069,0.1165,0.20349344978165937,233,343,57,1767
high_cka_relation_pca_rank_mean,7,ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|stft:cepstral:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cyclo:hos:relation_pca_residual,0.95,0.8525267857142855,0.5003125,0.5218345982142857,0.5096794196428571,-0.01215517857142856,0.8687723214285714,0.4924107142857143,0.4833325,0.21125,0.8322981366459627,0.067,0.12401665895418788,134,373,27,1866
high_cka_relation_pca_rank_mean,7,ap:cepstral:relation_pca_residual|ap:cyclo:relation_pca_residual|fft:stft:relation_pca_residual|fft:cepstral:relation_pca_residual|stft:cepstral:relation_pca_residual|cepstral:cyclo:relation_pca_residual|cyclo:hos:relation_pca_residual,0.97,0.8845017857142857,0.5003125,0.5218345982142857,0.5096794196428571,-0.01215517857142856,0.8687723214285714,0.4924107142857143,0.4833325,0.19875,0.8598130841121495,0.046,0.08732795443758898,92,385,15,1908
low_cka_relation_mahal_rank_mean,7,iq:fft:relation_shrinkage_mahalanobis|iq:stft:relation_shrinkage_mahalanobis|iq:cepstral:relation_shrinkage_mahalanobis|iq:cyclo:relation_shrinkage_mahalanobis|iq:hos:relation_shrinkage_mahalanobis|iq:bispectrum:relation_shrinkage_mahalanobis|hos:bispectrum:relation_shrinkage_mahalanobis,0.9,0.8843035714285715,0.5003125,0.5173886160714286,0.5075579017857142,-0.00983071428571436,0.9369330357142855,0.4559375,0.49019625,0.23833333333333334,0.8161764705882353,0.111,0.19542253521126762,222,350,50,1778
low_cka_relation_mahal_rank_mean,7,iq:fft:relation_shrinkage_mahalanobis|iq:stft:relation_shrinkage_mahalanobis|iq:cepstral:relation_shrinkage_mahalanobis|iq:cyclo:relation_shrinkage_mahalanobis|iq:hos:relation_shrinkage_mahalanobis|iq:bispectrum:relation_shrinkage_mahalanobis|hos:bispectrum:relation_shrinkage_mahalanobis,0.95,0.9260892857142857,0.5003125,0.5173886160714286,0.5075579017857142,-0.00983071428571436,0.9369330357142855,0.4559375,0.49019625,0.19791666666666666,0.7906976744186046,0.051,0.09581963363081257,102,373,27,1898
low_cka_relation_mahal_rank_mean,7,iq:fft:relation_shrinkage_mahalanobis|iq:stft:relation_shrinkage_mahalanobis|iq:cepstral:relation_shrinkage_mahalanobis|iq:cyclo:relation_shrinkage_mahalanobis|iq:hos:relation_shrinkage_mahalanobis|iq:bispectrum:relation_shrinkage_mahalanobis|hos:bispectrum:relation_shrinkage_mahalanobis,0.97,0.9480410714285713,0.5003125,0.5173886160714286,0.5075579017857142,-0.00983071428571436,0.9369330357142855,0.4559375,0.49019625,0.18875,0.8354430379746836,0.033,0.06349206349206349,66,387,13,1934
