fusion,component_count,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
single_pca_rank_mean,8,Tx5,0.9,0.7412656250000003,0.4715425,0.4388888888888889,0.4752475247524752,0.096,0.15973377703826955,48,347,53,452
single_pca_rank_mean,8,Tx6,0.9,0.7412656250000003,0.5273425,0.4622222222222222,0.5655737704918032,0.138,0.22186495176848875,69,347,53,431
single_pca_rank_mean,8,Tx7,0.9,0.7412656250000003,0.510365,0.45111111111111113,0.5267857142857143,0.118,0.19281045751633985,59,347,53,441
single_pca_rank_mean,8,Tx8,0.9,0.7412656250000003,0.5796525,0.4811111111111111,0.6187050359712231,0.172,0.2691705790297339,86,347,53,414
single_pca_rank_mean,8,Tx5,0.95,0.79823828125,0.4715425,0.4533333333333333,0.5714285714285714,0.064,0.11510791366906473,32,376,24,468
single_pca_rank_mean,8,Tx6,0.95,0.79823828125,0.5273425,0.45444444444444443,0.5789473684210527,0.066,0.118491921005386,33,376,24,467
single_pca_rank_mean,8,Tx7,0.95,0.79823828125,0.510365,0.45111111111111113,0.5555555555555556,0.06,0.10830324909747291,30,376,24,470
single_pca_rank_mean,8,Tx8,0.95,0.79823828125,0.5796525,0.4711111111111111,0.6666666666666666,0.096,0.16783216783216784,48,376,24,452
single_pca_rank_mean,8,Tx5,0.97,0.8297671874999999,0.4715425,0.4488888888888889,0.5555555555555556,0.04,0.07462686567164178,20,384,16,480
single_pca_rank_mean,8,Tx6,0.97,0.8297671874999999,0.5273425,0.45222222222222225,0.5897435897435898,0.046,0.08534322820037106,23,384,16,477
single_pca_rank_mean,8,Tx7,0.97,0.8297671874999999,0.510365,0.44333333333333336,0.4838709677419355,0.03,0.05649717514124294,15,384,16,485
single_pca_rank_mean,8,Tx8,0.97,0.8297671874999999,0.5796525,0.45555555555555555,0.6190476190476191,0.052,0.09594095940959409,26,384,16,474
all_relation_pca_rank_mean,28,Tx5,0.9,0.7894620535714286,0.4746525,0.44222222222222224,0.4915254237288136,0.116,0.1877022653721683,58,340,60,442
all_relation_pca_rank_mean,28,Tx6,0.9,0.7894620535714286,0.5022325,0.45222222222222225,0.5275590551181102,0.134,0.21371610845295055,67,340,60,433
all_relation_pca_rank_mean,28,Tx7,0.9,0.7894620535714286,0.5059575,0.44555555555555554,0.5041322314049587,0.122,0.19645732689210949,61,340,60,439
all_relation_pca_rank_mean,28,Tx8,0.9,0.7894620535714286,0.501775,0.44222222222222224,0.4915254237288136,0.116,0.1877022653721683,58,340,60,442
all_relation_pca_rank_mean,28,Tx5,0.95,0.8397109375,0.4746525,0.4444444444444444,0.5,0.062,0.11032028469750889,31,369,31,469
all_relation_pca_rank_mean,28,Tx6,0.95,0.8397109375,0.5022325,0.4444444444444444,0.5,0.062,0.11032028469750889,31,369,31,469
all_relation_pca_rank_mean,28,Tx7,0.95,0.8397109375,0.5059575,0.45222222222222225,0.5507246376811594,0.076,0.1335676625659051,38,369,31,462
all_relation_pca_rank_mean,28,Tx8,0.95,0.8397109375,0.501775,0.44555555555555554,0.5079365079365079,0.064,0.11367673179396091,32,369,31,468
all_relation_pca_rank_mean,28,Tx5,0.97,0.8679774553571429,0.4746525,0.44333333333333336,0.48484848484848486,0.032,0.0600375234521576,16,383,17,484
all_relation_pca_rank_mean,28,Tx6,0.97,0.8679774553571429,0.5022325,0.4488888888888889,0.5526315789473685,0.042,0.07806691449814127,21,383,17,479
all_relation_pca_rank_mean,28,Tx7,0.97,0.8679774553571429,0.5059575,0.45222222222222225,0.5853658536585366,0.048,0.088724584103512,24,383,17,476
all_relation_pca_rank_mean,28,Tx8,0.97,0.8679774553571429,0.501775,0.44333333333333336,0.48484848484848486,0.032,0.0600375234521576,16,383,17,484
low_cka_relation_pca_rank_mean,7,Tx5,0.9,0.8370357142857144,0.4800425,0.45444444444444443,0.5398230088495575,0.122,0.19902120717781402,61,348,52,439
low_cka_relation_pca_rank_mean,7,Tx6,0.9,0.8370357142857144,0.50495,0.46555555555555556,0.5772357723577236,0.142,0.2279293739967897,71,348,52,429
low_cka_relation_pca_rank_mean,7,Tx7,0.9,0.8370357142857144,0.51168,0.46,0.559322033898305,0.132,0.21359223300970875,66,348,52,434
low_cka_relation_pca_rank_mean,7,Tx8,0.9,0.8370357142857144,0.4933975,0.44,0.48,0.096,0.16,48,348,52,452
low_cka_relation_pca_rank_mean,7,Tx5,0.95,0.9003883928571428,0.4800425,0.4477777777777778,0.5245901639344263,0.064,0.11408199643493763,32,371,29,468
low_cka_relation_pca_rank_mean,7,Tx6,0.95,0.9003883928571428,0.50495,0.4577777777777778,0.5857142857142857,0.082,0.14385964912280705,41,371,29,459
low_cka_relation_pca_rank_mean,7,Tx7,0.95,0.9003883928571428,0.51168,0.45666666666666667,0.5797101449275363,0.08,0.140597539543058,40,371,29,460
low_cka_relation_pca_rank_mean,7,Tx8,0.95,0.9003883928571428,0.4933975,0.43333333333333335,0.3958333333333333,0.038,0.06934306569343066,19,371,29,481
low_cka_relation_pca_rank_mean,7,Tx5,0.97,0.9291098214285715,0.4800425,0.44555555555555554,0.5142857142857142,0.036,0.06728971962616823,18,383,17,482
low_cka_relation_pca_rank_mean,7,Tx6,0.97,0.9291098214285715,0.50495,0.45222222222222225,0.5853658536585366,0.048,0.088724584103512,24,383,17,476
low_cka_relation_pca_rank_mean,7,Tx7,0.97,0.9291098214285715,0.51168,0.4533333333333333,0.5952380952380952,0.05,0.09225092250922509,25,383,17,475
low_cka_relation_pca_rank_mean,7,Tx8,0.97,0.9291098214285715,0.4933975,0.43555555555555553,0.34615384615384615,0.018,0.03422053231939163,9,383,17,491
high_cka_relation_pca_rank_mean,7,Tx5,0.9,0.7931428571428571,0.4657275,0.4444444444444444,0.5,0.114,0.18566775244299674,57,343,57,443
high_cka_relation_pca_rank_mean,7,Tx6,0.9,0.7931428571428571,0.484245,0.43777777777777777,0.4722222222222222,0.102,0.16776315789473684,51,343,57,449
high_cka_relation_pca_rank_mean,7,Tx7,0.9,0.7931428571428571,0.475845,0.4444444444444444,0.5,0.114,0.18566775244299674,57,343,57,443
