rep_a,rep_b,linear_cka,cca_top1,cca_mean3,cca_mean5,split_cca_top1,split_cca_mean3,split_cca_mean5,cca_components_a,cca_components_b
iq,ap,0.6322622501054785,1.0,0.9970259574149684,0.9749617607794667,0.9994992776163822,0.9962515803726317,0.9641854475865141,16,16
iq,fft,0.3807895485793348,0.986688210831251,0.9568787590222549,0.7947395884962284,0.9847612703287346,0.9538967427105232,0.7657526960783311,16,16
iq,stft,0.30089957096162695,0.9777978151096189,0.8143732426707787,0.6356944310451738,0.9771794151358858,0.8089551442677441,0.6221412665959901,16,16
iq,cepstral,0.3218840693558594,0.9787904828835569,0.9136760458874932,0.7056624258376661,0.9784429477586207,0.9153559685825728,0.6783582618468811,16,16
iq,cyclo,0.2817062986026087,0.9838819536740891,0.9016544745057217,0.7328321122890833,0.9832001682521537,0.8943832838745593,0.7359323531272174,16,16
iq,hos,0.28668362824523225,0.9910629996990662,0.9845966528915616,0.9595559586760762,0.9773645110966256,0.9737585610797012,0.9256530741555004,16,16
iq,bispectrum,0.254902617368676,0.956898882855283,0.7275483579809952,0.526371234642958,0.9484445030713955,0.6618174377036855,0.44077331179174645,16,16
ap,fft,0.6409747071704972,0.9962775275797923,0.9716882374647359,0.9321204700259473,0.9958823484019794,0.9684867264962304,0.927160111649773,16,16
ap,stft,0.6337316431950424,0.9911339229601477,0.9521843628557481,0.871719888978333,0.9908976807889763,0.9512639081584414,0.8700396116876279,16,16
ap,cepstral,0.7634583739902622,0.9868806125282907,0.9397458799314321,0.8727008125233267,0.9843359302702205,0.9348501803850765,0.8687368417758412,16,16
ap,cyclo,0.7978020283587626,0.9926997583431679,0.9641712938811443,0.8873456556618814,0.9933168755253683,0.962253235339698,0.9054482533967342,16,16
ap,hos,0.5887333836895635,0.9906126965268995,0.9596575489455356,0.8492545913057471,0.9884824665518974,0.897035705544207,0.8034543066689338,16,16
ap,bispectrum,0.4645693186827982,0.9693132334267937,0.8121010231117668,0.6679169198641726,0.9694540502193995,0.8004847707384348,0.6726202848845717,16,16
fft,stft,0.8219492845170945,0.9968993516491798,0.9722034042222695,0.9275441621326646,0.9955410387726286,0.9711240071479036,0.9278416222240672,16,16
fft,cepstral,0.7759347429240445,0.9984073996689264,0.9834518087948445,0.9570002586846952,0.9975581308071777,0.978880130997767,0.9534388464106289,16,16
fft,cyclo,0.530807749193446,0.9897783014504424,0.9311534723121007,0.7943649197779816,0.9873892485574661,0.9200030963231981,0.7882151425263642,16,16
fft,hos,0.39575193510627854,0.9879416570792832,0.7831359881210417,0.5770516505009974,0.9881169502783161,0.7546188240190208,0.4920762122749699,16,16
fft,bispectrum,0.5502545319262951,0.9803992157908636,0.8759281336785493,0.7306544473252014,0.9807177413874884,0.8762267668820453,0.7237186105768798,16,16
stft,cepstral,0.850682508006525,0.9945726077291361,0.9618558742743892,0.8956696917867408,0.9929328094101799,0.9600882501393188,0.88458543077532,16,16
stft,cyclo,0.5837027609436924,0.9881239932943995,0.9744406817780155,0.9146542846313569,0.9866664635070808,0.9721864146309706,0.902251290928926,16,16
stft,hos,0.44970396064388124,0.9796378575631998,0.8872154567011293,0.7293586944565551,0.9780881539666856,0.895913164790915,0.7138723668462197,16,16
stft,bispectrum,0.6165090314054916,0.9771216742128861,0.8581774012277661,0.7122034268607116,0.9692885700787656,0.8381662726104087,0.7012363666983857,16,16
cepstral,cyclo,0.7343876307493588,0.9889605267668524,0.9196605392633636,0.7693405949922203,0.9866712329258784,0.9151254076770418,0.7520208656808268,16,16
cepstral,hos,0.506001519473064,0.9805758618033246,0.802040460688704,0.6015073647477958,0.9809463436036175,0.7877901800640963,0.5478593208825842,16,16
cepstral,bispectrum,0.6210899444821352,0.9744602435695928,0.8257062356837297,0.6840622347745278,0.9722394001920819,0.8145372081925268,0.6523358480013742,16,16
cyclo,hos,0.7081703084801341,0.9893492479126417,0.9601114729619967,0.8563468115924724,0.9852613534000387,0.9301509037724193,0.7552988844119415,16,16
cyclo,bispectrum,0.4234038252144078,0.9575018449873455,0.7474947006200683,0.5464963214293903,0.9580591491718131,0.7287396511614767,0.5080541923993631,16,16
hos,bispectrum,0.315462520596157,0.9548331644561646,0.7207479905381945,0.5081340849726939,0.953224796380994,0.6900263457135954,0.43368811086104264,16,16
