pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:ap,relation_zdist,Tx5,0.9,2.130124398019035,0.43903,0.4477777777777778,0.5151515151515151,0.102,0.1702838063439065,51,352,48,449
iq:ap,relation_zdist,Tx6,0.9,2.130124398019035,0.466385,0.4588888888888889,0.5596330275229358,0.122,0.20032840722495893,61,352,48,439
iq:ap,relation_zdist,Tx7,0.9,2.130124398019035,0.444875,0.4577777777777778,0.5555555555555556,0.12,0.19736842105263158,60,352,48,440
iq:ap,relation_zdist,Tx8,0.9,2.130124398019035,0.503125,0.4311111111111111,0.42857142857142855,0.072,0.1232876712328767,36,352,48,464
iq:ap,relation_zdist,Tx5,0.95,4.106689245609339,0.43903,0.45111111111111113,0.5555555555555556,0.06,0.10830324909747291,30,376,24,470
iq:ap,relation_zdist,Tx6,0.95,4.106689245609339,0.466385,0.4533333333333333,0.5714285714285714,0.064,0.11510791366906473,32,376,24,468
iq:ap,relation_zdist,Tx7,0.95,4.106689245609339,0.444875,0.4533333333333333,0.5714285714285714,0.064,0.11510791366906473,32,376,24,468
iq:ap,relation_zdist,Tx8,0.95,4.106689245609339,0.503125,0.43333333333333335,0.3684210526315789,0.028,0.05204460966542751,14,376,24,486
iq:ap,relation_zdist,Tx5,0.97,5.932951303866707,0.43903,0.45555555555555555,0.6666666666666666,0.04,0.07547169811320754,20,390,10,480
iq:ap,relation_zdist,Tx6,0.97,5.932951303866707,0.466385,0.45444444444444443,0.6551724137931034,0.038,0.0718336483931947,19,390,10,481
iq:ap,relation_zdist,Tx7,0.97,5.932951303866707,0.444875,0.45222222222222225,0.6296296296296297,0.034,0.06451612903225806,17,390,10,483
iq:ap,relation_zdist,Tx8,0.97,5.932951303866707,0.503125,0.44,0.375,0.012,0.023255813953488375,6,390,10,494
iq:ap,relation_pca_residual,Tx5,0.9,0.30615907045470514,0.467275,0.4488888888888889,0.5169491525423728,0.122,0.19741100323624594,61,343,57,439
iq:ap,relation_pca_residual,Tx6,0.9,0.30615907045470514,0.476835,0.4633333333333333,0.5648854961832062,0.148,0.23454833597464342,74,343,57,426
iq:ap,relation_pca_residual,Tx7,0.9,0.30615907045470514,0.49901,0.45444444444444443,0.5365853658536586,0.132,0.21187800963081863,66,343,57,434
iq:ap,relation_pca_residual,Tx8,0.9,0.30615907045470514,0.53632,0.4411111111111111,0.4864864864864865,0.108,0.17675941080196397,54,343,57,446
iq:ap,relation_pca_residual,Tx5,0.95,0.6189853363617297,0.467275,0.44333333333333336,0.49122807017543857,0.056,0.10053859964093356,28,371,29,472
iq:ap,relation_pca_residual,Tx6,0.95,0.6189853363617297,0.476835,0.45111111111111113,0.546875,0.07,0.12411347517730496,35,371,29,465
iq:ap,relation_pca_residual,Tx7,0.95,0.6189853363617297,0.49901,0.4488888888888889,0.532258064516129,0.066,0.11743772241992882,33,371,29,467
iq:ap,relation_pca_residual,Tx8,0.95,0.6189853363617297,0.53632,0.43222222222222223,0.3829787234042553,0.036,0.06581352833638025,18,371,29,482
iq:ap,relation_pca_residual,Tx5,0.97,0.8432943855439698,0.467275,0.4488888888888889,0.5526315789473685,0.042,0.07806691449814127,21,383,17,479
iq:ap,relation_pca_residual,Tx6,0.97,0.8432943855439698,0.476835,0.4477777777777778,0.5405405405405406,0.04,0.07448789571694599,20,383,17,480
iq:ap,relation_pca_residual,Tx7,0.97,0.8432943855439698,0.49901,0.45444444444444443,0.6046511627906976,0.052,0.09576427255985265,26,383,17,474
iq:ap,relation_pca_residual,Tx8,0.97,0.8432943855439698,0.53632,0.4388888888888889,0.41379310344827586,0.024,0.045368620037807186,12,383,17,488
iq:ap,relation_shrinkage_mahalanobis,Tx5,0.9,68.72912858904172,0.455475,0.4477777777777778,0.5151515151515151,0.102,0.1702838063439065,51,352,48,449
iq:ap,relation_shrinkage_mahalanobis,Tx6,0.9,68.72912858904172,0.47358,0.46111111111111114,0.5675675675675675,0.126,0.20621931260229132,63,352,48,437
iq:ap,relation_shrinkage_mahalanobis,Tx7,0.9,68.72912858904172,0.483285,0.4577777777777778,0.5555555555555556,0.12,0.19736842105263158,60,352,48,440
