pair,pooled_linear_cka,pooled_split_cca_mean5,known_tx_linear_cka_mean,known_tx_linear_cka_std,known_tx_linear_cka_min,known_tx_linear_cka_max,known_tx_split_cca_mean5_mean,known_tx_split_cca_mean5_std
ap:bispectrum,0.4645693186827982,0.6726202848845717,0.4702343355937204,0.021433968742041894,0.44425907802040293,0.49711938362707003,0.5695693779670603,0.04493024138266533
ap:cepstral,0.7634583739902622,0.8687368417758412,0.77199087176426,0.0254199868777453,0.7361483125658843,0.7969422106729748,0.8538865125602563,0.02571464612766911
ap:cyclo,0.7978020283587626,0.9054482533967342,0.8031450167962948,0.01754205213760645,0.7823165655332582,0.8235711307964309,0.8586160257651403,0.020292223993847915
ap:fft,0.6409747071704972,0.927160111649773,0.645510587824593,0.012777799111248725,0.6273657449935992,0.657777160977195,0.9218746389628292,0.008039367779551207
ap:hos,0.5887333836895635,0.8034543066689338,0.5703584552083301,0.02865632105497859,0.5214909525711421,0.591603313234087,0.7806965620490222,0.08147202728144194
ap:stft,0.6337316431950424,0.8700396116876279,0.6377346307972537,0.02135217365642786,0.6170549496267963,0.6680987688918343,0.8408084719385022,0.02405065851344796
cepstral:bispectrum,0.6210899444821352,0.6523358480013742,0.6276121508988077,0.01347203564716052,0.606085913116029,0.6404028002659663,0.6346259129541147,0.014972524313297944
cepstral:cyclo,0.7343876307493588,0.7520208656808268,0.7327130193047261,0.04100572644634737,0.6813248347783981,0.7858011751311104,0.7262768758521807,0.03624745290283429
cepstral:hos,0.506001519473064,0.5478593208825842,0.48750230550467205,0.03509580823507117,0.4311776165222041,0.52313046448803,0.513450887937224,0.07749229239538077
cyclo:bispectrum,0.4234038252144078,0.5080541923993631,0.4338517161644769,0.02025835846206416,0.4108658074890311,0.4664098441119046,0.48099152227295705,0.03868395036053608
cyclo:hos,0.7081703084801341,0.7552988844119415,0.6921660742969967,0.015362837723358334,0.6721141713274051,0.7132681041685837,0.8385634837452245,0.040802606139130455
fft:bispectrum,0.5502545319262951,0.7237186105768798,0.5564729433363809,0.012647466521221755,0.5396425375751305,0.5731346020648173,0.6657189814371673,0.023511199938032495
fft:cepstral,0.7759347429240445,0.9534388464106289,0.7837703128419649,0.016123707885510544,0.7652211429689961,0.8000840481610133,0.9540971085678296,0.009718728310974948
fft:cyclo,0.530807749193446,0.7882151425263642,0.5367144243673354,0.011483505729143025,0.5168367262129306,0.5439895529349806,0.7495528099373844,0.02493727621620614
fft:hos,0.39575193510627854,0.4920762122749699,0.3826966116802272,0.019069798750973265,0.35239613515556756,0.40499385695762874,0.5153003308839089,0.04294725395529914
fft:stft,0.8219492845170945,0.9278416222240672,0.8245725890719756,0.013738890676255937,0.8035492294822338,0.8393171881333359,0.9305610073186761,0.007775874199383104
hos:bispectrum,0.315462520596157,0.43368811086104264,0.3100007805578835,0.013790612536055414,0.2943364659233473,0.3322211821203478,0.48473700728484587,0.04115521154503077
iq:ap,0.6322622501054785,0.9641854475865141,0.6394042811174934,0.013685696287351962,0.6178993518545184,0.6558371916601892,0.9637184050982139,0.010045675088948214
iq:bispectrum,0.254902617368676,0.44077331179174645,0.26448613438065693,0.018383062932143767,0.24213545512004436,0.28701401855383757,0.4496952691299268,0.03513894627616896
iq:cepstral,0.3218840693558594,0.6783582618468811,0.3383884101764696,0.020860424489863572,0.3121202287612362,0.3635485157748101,0.6564427366090402,0.030123470574887252
iq:cyclo,0.2817062986026087,0.7359323531272174,0.2901624667933844,0.013365647291951301,0.2708202366960998,0.30700801829864044,0.6458736608961761,0.11615302164234811
iq:fft,0.3807895485793348,0.7657526960783311,0.3903550911196557,0.019225639929173158,0.3653386810280504,0.41412333461624135,0.7220084841978686,0.043837085382338624
iq:hos,0.28668362824523225,0.9256530741555004,0.2966743131336088,0.01512028956747777,0.27273140194790246,0.31156654853219745,0.8679981494693965,0.06550891844194479
iq:stft,0.30089957096162695,0.6221412665959901,0.3136684017429372,0.036127350913692007,0.2745247468823074,0.3620060207451023,0.5372878562273278,0.04990572973989503
stft:bispectrum,0.6165090314054916,0.7012363666983857,0.6211834485128961,0.024127777996823856,0.581958347409638,0.6463773845931224,0.6638130575078668,0.035667983024706605
stft:cepstral,0.850682508006525,0.88458543077532,0.8552324998037206,0.008113103935936974,0.8417803151571049,0.8633026789427894,0.8752249394612039,0.018191721216926363
stft:cyclo,0.5837027609436924,0.902251290928926,0.5886525209906759,0.016813882894480502,0.5704468598691113,0.6152730803112213,0.9222630770162227,0.01040115648593211
stft:hos,0.44970396064388124,0.7138723668462197,0.43487290130696515,0.02077290011094216,0.4029404162771672,0.45971491667932285,0.6863607476115281,0.047390024304958575
