representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq,zdist,Tx1,0.9,1.6364136891424548,100,5,95,0.05,0.8394679411645786,1.6363587488384166
iq,zdist,Tx2,0.9,1.6364136891424548,100,10,90,0.1,1.2514457243526615,2.6574244174355
iq,zdist,Tx3,0.9,1.6364136891424548,100,18,82,0.18,0.8820621216514319,2.2871895393684665
iq,zdist,Tx4,0.9,1.6364136891424548,100,12,88,0.12,0.8455688037425487,2.0318902316645158
iq,zdist,Tx1,0.95,2.370411732030558,100,4,96,0.04,0.8394679411645786,1.6363587488384166
iq,zdist,Tx2,0.95,2.370411732030558,100,6,94,0.06,1.2514457243526615,2.6574244174355
iq,zdist,Tx3,0.95,2.370411732030558,100,5,95,0.05,0.8820621216514319,2.2871895393684665
iq,zdist,Tx4,0.95,2.370411732030558,100,4,96,0.04,0.8455688037425487,2.0318902316645158
iq,zdist,Tx1,0.97,3.013345767307876,100,2,98,0.02,0.8394679411645786,1.6363587488384166
iq,zdist,Tx2,0.97,3.013345767307876,100,4,96,0.04,1.2514457243526615,2.6574244174355
iq,zdist,Tx3,0.97,3.013345767307876,100,2,98,0.02,0.8820621216514319,2.2871895393684665
iq,zdist,Tx4,0.97,3.013345767307876,100,3,97,0.03,0.8455688037425487,2.0318902316645158
iq,pca_residual,Tx1,0.9,0.03808009378755104,100,11,89,0.11,0.018089158758239642,0.06471283725149034
iq,pca_residual,Tx2,0.9,0.03808009378755104,100,14,86,0.14,0.021760148788492802,0.07916758935681958
iq,pca_residual,Tx3,0.9,0.03808009378755104,100,9,91,0.09,0.01637671133256748,0.05755385636520347
iq,pca_residual,Tx4,0.9,0.03808009378755104,100,11,89,0.11,0.021389477998620586,0.09495727825311823
iq,pca_residual,Tx1,0.95,0.06798526270548154,100,5,95,0.05,0.018089158758239642,0.06471283725149034
iq,pca_residual,Tx2,0.95,0.06798526270548154,100,8,92,0.08,0.021760148788492802,0.07916758935681958
iq,pca_residual,Tx3,0.95,0.06798526270548154,100,4,96,0.04,0.01637671133256748,0.05755385636520347
iq,pca_residual,Tx4,0.95,0.06798526270548154,100,8,92,0.08,0.021389477998620586,0.09495727825311823
iq,pca_residual,Tx1,0.97,0.09031788455059425,100,4,96,0.04,0.018089158758239642,0.06471283725149034
iq,pca_residual,Tx2,0.97,0.09031788455059425,100,5,95,0.05,0.021760148788492802,0.07916758935681958
iq,pca_residual,Tx3,0.97,0.09031788455059425,100,2,98,0.02,0.01637671133256748,0.05755385636520347
iq,pca_residual,Tx4,0.97,0.09031788455059425,100,6,94,0.06,0.021389477998620586,0.09495727825311823
iq,shrinkage_mahalanobis,Tx1,0.9,57.50188377271842,100,8,92,0.08,25.22958260909762,78.81222236014337
iq,shrinkage_mahalanobis,Tx2,0.9,57.50188377271842,100,16,84,0.16,36.83781643590422,107.7270603313702
iq,shrinkage_mahalanobis,Tx3,0.9,57.50188377271842,100,10,90,0.1,25.3071277850083,81.34481457756367
iq,shrinkage_mahalanobis,Tx4,0.9,57.50188377271842,100,12,88,0.12,19.170356452248164,74.19524400376034
iq,shrinkage_mahalanobis,Tx1,0.95,90.204322073344,100,4,96,0.04,25.22958260909762,78.81222236014337
iq,shrinkage_mahalanobis,Tx2,0.95,90.204322073344,100,8,92,0.08,36.83781643590422,107.7270603313702
iq,shrinkage_mahalanobis,Tx3,0.95,90.204322073344,100,4,96,0.04,25.3071277850083,81.34481457756367
