representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq,zdist,Tx5,0.9,1.6364136891424548,0.47741,0.4666666666666667,0.5909090909090909,0.13,0.21311475409836067,65,355,45,435
iq,zdist,Tx6,0.9,1.6364136891424548,0.490875,0.4666666666666667,0.5909090909090909,0.13,0.21311475409836067,65,355,45,435
iq,zdist,Tx7,0.9,1.6364136891424548,0.48863,0.4677777777777778,0.5945945945945946,0.132,0.21603927986906712,66,355,45,434
iq,zdist,Tx8,0.9,1.6364136891424548,0.453275,0.4266666666666667,0.3918918918918919,0.058,0.1010452961672474,29,355,45,471
iq,zdist,Tx5,0.95,2.370411732030558,0.47741,0.46444444444444444,0.6607142857142857,0.074,0.13309352517985612,37,381,19,463
iq,zdist,Tx6,0.95,2.370411732030558,0.490875,0.4588888888888889,0.6274509803921569,0.064,0.1161524500907441,32,381,19,468
iq,zdist,Tx7,0.95,2.370411732030558,0.48863,0.45444444444444443,0.5957446808510638,0.056,0.10237659963436928,28,381,19,472
iq,zdist,Tx8,0.95,2.370411732030558,0.453275,0.43555555555555553,0.36666666666666664,0.022,0.04150943396226415,11,381,19,489
iq,zdist,Tx5,0.97,3.013345767307876,0.47741,0.4588888888888889,0.6857142857142857,0.048,0.08971962616822429,24,389,11,476
iq,zdist,Tx6,0.97,3.013345767307876,0.490875,0.45111111111111113,0.6071428571428571,0.034,0.06439393939393939,17,389,11,483
iq,zdist,Tx7,0.97,3.013345767307876,0.48863,0.4533333333333333,0.6333333333333333,0.038,0.07169811320754715,19,389,11,481
iq,zdist,Tx8,0.97,3.013345767307876,0.453275,0.44222222222222224,0.45,0.018,0.03461538461538461,9,389,11,491
iq,pca_residual,Tx5,0.9,0.03808009378755104,0.46309,0.45666666666666667,0.5544554455445545,0.112,0.18635607321131448,56,355,45,444
iq,pca_residual,Tx6,0.9,0.03808009378755104,0.488005,0.4588888888888889,0.5631067961165048,0.116,0.19237147595356552,58,355,45,442
iq,pca_residual,Tx7,0.9,0.03808009378755104,0.491985,0.4666666666666667,0.5909090909090909,0.13,0.21311475409836067,65,355,45,435
iq,pca_residual,Tx8,0.9,0.03808009378755104,0.533615,0.48333333333333334,0.64,0.16,0.256,80,355,45,420
iq,pca_residual,Tx5,0.95,0.06798526270548154,0.46309,0.45222222222222225,0.5614035087719298,0.064,0.1149012567324955,32,375,25,468
iq,pca_residual,Tx6,0.95,0.06798526270548154,0.488005,0.4477777777777778,0.5283018867924528,0.056,0.10126582278481013,28,375,25,472
iq,pca_residual,Tx7,0.95,0.06798526270548154,0.491985,0.45222222222222225,0.5614035087719298,0.064,0.1149012567324955,32,375,25,468
iq,pca_residual,Tx8,0.95,0.06798526270548154,0.533615,0.45444444444444443,0.576271186440678,0.068,0.12164579606440071,34,375,25,466
iq,pca_residual,Tx5,0.97,0.09031788455059425,0.46309,0.4488888888888889,0.5526315789473685,0.042,0.07806691449814127,21,383,17,479
iq,pca_residual,Tx6,0.97,0.09031788455059425,0.488005,0.4444444444444444,0.5,0.034,0.06367041198501873,17,383,17,483
iq,pca_residual,Tx7,0.97,0.09031788455059425,0.491985,0.44666666666666666,0.5277777777777778,0.038,0.0708955223880597,19,383,17,481
iq,pca_residual,Tx8,0.97,0.09031788455059425,0.533615,0.4488888888888889,0.5526315789473685,0.042,0.07806691449814127,21,383,17,479
iq,shrinkage_mahalanobis,Tx5,0.9,57.50188377271842,0.47424,0.45111111111111113,0.5306122448979592,0.104,0.17391304347826086,52,354,46,448
iq,shrinkage_mahalanobis,Tx6,0.9,57.50188377271842,0.50475,0.4677777777777778,0.5929203539823009,0.134,0.21859706362153347,67,354,46,433
iq,shrinkage_mahalanobis,Tx7,0.9,57.50188377271842,0.499555,0.4588888888888889,0.5619047619047619,0.118,0.1950413223140496,59,354,46,441
iq,shrinkage_mahalanobis,Tx8,0.9,57.50188377271842,0.52212,0.43666666666666665,0.4588235294117647,0.078,0.13333333333333333,39,354,46,461
iq,shrinkage_mahalanobis,Tx5,0.95,90.204322073344,0.47424,0.4588888888888889,0.6226415094339622,0.066,0.1193490054249548,33,380,20,467
iq,shrinkage_mahalanobis,Tx6,0.95,90.204322073344,0.50475,0.45222222222222225,0.574468085106383,0.054,0.09872029250457037,27,380,20,473
iq,shrinkage_mahalanobis,Tx7,0.95,90.204322073344,0.499555,0.4533333333333333,0.5833333333333334,0.056,0.10218978102189781,28,380,20,472
iq,shrinkage_mahalanobis,Tx8,0.95,90.204322073344,0.52212,0.4388888888888889,0.42857142857142855,0.03,0.056074766355140186,15,380,20,485
iq,shrinkage_mahalanobis,Tx5,0.97,112.2178996904962,0.47424,0.45222222222222225,0.6,0.042,0.07850467289719626,21,386,14,479
iq,shrinkage_mahalanobis,Tx6,0.97,112.2178996904962,0.50475,0.45111111111111113,0.5882352941176471,0.04,0.07490636704119849,20,386,14,480
iq,shrinkage_mahalanobis,Tx7,0.97,112.2178996904962,0.499555,0.44666666666666666,0.5333333333333333,0.032,0.06037735849056604,16,386,14,484
iq,shrinkage_mahalanobis,Tx8,0.97,112.2178996904962,0.52212,0.4388888888888889,0.391304347826087,0.018,0.03441682600382409,9,386,14,491
ap,zdist,Tx5,0.9,2.234322418741458,0.489935,0.43555555555555553,0.4583333333333333,0.088,0.14765100671140938,44,348,52,456
ap,zdist,Tx6,0.9,2.234322418741458,0.486205,0.4533333333333333,0.5357142857142857,0.12,0.19607843137254902,60,348,52,440
ap,zdist,Tx7,0.9,2.234322418741458,0.480185,0.45222222222222225,0.5315315315315315,0.118,0.19312602291325692,59,348,52,441
ap,zdist,Tx8,0.9,2.234322418741458,0.51834,0.44,0.48,0.096,0.16,48,348,52,452
ap,zdist,Tx5,0.95,3.9345970107753545,0.489935,0.43777777777777777,0.4423076923076923,0.046,0.08333333333333333,23,371,29,477
ap,zdist,Tx6,0.95,3.9345970107753545,0.486205,0.44555555555555554,0.5084745762711864,0.06,0.10733452593917708,30,371,29,470
ap,zdist,Tx7,0.95,3.9345970107753545,0.480185,0.4444444444444444,0.5,0.058,0.1039426523297491,29,371,29,471
ap,zdist,Tx8,0.95,3.9345970107753545,0.51834,0.43777777777777777,0.4423076923076923,0.046,0.08333333333333333,23,371,29,477
ap,zdist,Tx5,0.97,5.4922312857992015,0.489935,0.44,0.4411764705882353,0.03,0.056179775280898875,15,381,19,485
ap,zdist,Tx6,0.97,5.4922312857992015,0.486205,0.4411111111111111,0.45714285714285713,0.032,0.059813084112149535,16,381,19,484
ap,zdist,Tx7,0.97,5.4922312857992015,0.480185,0.44,0.4411764705882353,0.03,0.056179775280898875,15,381,19,485
