component,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
single:cyclo:pca_residual,0.9,0.11375731572913902,0.5941171428571429,0.23277777777777778,0.984251968503937,0.21428571428571427,0.35194744251525106,750,88,12,2750
single:cyclo:pca_residual,0.95,0.15163331263911087,0.5941171428571429,0.16666666666666666,0.9901960784313726,0.1442857142857143,0.25187032418952615,505,95,5,2995
single:cyclo:pca_residual,0.97,0.17273804223632752,0.5941171428571429,0.14583333333333334,0.9930394431554525,0.12228571428571429,0.21775629610786063,428,97,3,3072
relation:ap:cyclo:pca_residual,0.9,0.36409685468571257,0.5951885714285714,0.2569444444444444,0.980209545983702,0.24057142857142857,0.3863271392521221,842,83,17,2658
relation:ap:cyclo:pca_residual,0.95,0.48912745031102983,0.5951885714285714,0.2038888888888889,0.9817629179331308,0.18457142857142858,0.3107263107263108,646,88,12,2854
relation:ap:cyclo:pca_residual,0.97,0.6508233188735694,0.5951885714285714,0.16416666666666666,0.9823182711198428,0.14285714285714285,0.24943876278373658,500,91,9,3000
relation:iq:cyclo:pca_residual,0.9,0.3074724992215633,0.55062,0.21333333333333335,0.9840579710144928,0.194,0.32410501193317426,679,89,11,2821
relation:iq:cyclo:pca_residual,0.95,0.466915721317108,0.55062,0.1736111111111111,0.9906542056074766,0.15142857142857144,0.2627013630731103,530,95,5,2970
relation:iq:cyclo:pca_residual,0.97,0.6735661013220209,0.55062,0.14722222222222223,0.9931192660550459,0.12371428571428572,0.22002032520325207,433,97,3,3067
relation:iq:bispectrum:zdist,0.9,2.173004797832117,0.5682,0.17527777777777778,0.9818511796733213,0.15457142857142858,0.26709454455689957,541,90,10,2959
relation:iq:bispectrum:zdist,0.95,3.2964617383523693,0.5682,0.1238888888888889,0.9887005649717514,0.1,0.1816294758692268,350,96,4,3150
relation:iq:bispectrum:zdist,0.97,4.992275393376579,0.5682,0.08,0.9947368421052631,0.054,0.1024390243902439,189,99,1,3311
