fusion,components,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
rank_mean,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.9,0.8229323308270675,0.59198,0.2086111111111111,0.9822222222222222,0.18942857142857142,0.3176047904191617,663,88,12,2837
rank_mean,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.95,0.8922932330827067,0.59198,0.17083333333333334,0.9923518164435946,0.1482857142857143,0.2580164056674124,519,96,4,2981
rank_mean,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.97,0.9226190476190477,0.59198,0.15555555555555556,0.9914529914529915,0.13257142857142856,0.23387096774193547,464,96,4,3036
rank_max,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.9,0.9674185463659147,0.5960485714285715,0.21694444444444444,0.9829787234042553,0.198,0.32960760998810945,693,88,12,2807
rank_max,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.95,0.9874686716791979,0.5960485714285715,0.17444444444444446,0.9888888888888889,0.15257142857142858,0.26435643564356437,534,94,6,2966
rank_max,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.97,0.9924812030075187,0.5960485714285715,0.16333333333333333,0.988,0.14114285714285715,0.24699999999999997,494,94,6,3006
rank_top2_mean,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.9,0.931578947368421,0.6016457142857143,0.22805555555555557,0.9800266311584553,0.2102857142857143,0.3462714655375206,736,85,15,2764
rank_top2_mean,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.95,0.9637844611528821,0.6016457142857143,0.18333333333333332,0.9878048780487805,0.162,0.27835051546391754,567,93,7,2933
rank_top2_mean,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.97,0.9786967418546366,0.6016457142857143,0.15333333333333332,0.9934497816593887,0.13,0.22991409802930776,455,97,3,3045
rank_cyclo_weighted,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.9,0.8196491228070175,0.5938285714285715,0.21333333333333335,0.9826589595375722,0.19428571428571428,0.3244274809160305,680,88,12,2820
rank_cyclo_weighted,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.95,0.8926817042606515,0.5938285714285715,0.1738888888888889,0.9925093632958801,0.15142857142857144,0.2627664848785325,530,96,4,2970
rank_cyclo_weighted,single:cyclo:pca_residual|relation:ap:cyclo:pca_residual|relation:iq:cyclo:pca_residual|relation:iq:bispectrum:zdist,0.97,0.9144060150375941,0.5938285714285715,0.1597222222222222,0.9917184265010351,0.13685714285714284,0.24052221943258845,479,96,4,3021
