fusion,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
rank_mean,Tx2,0.9,0.8229323308270675,0.56485,0.305,0.8878504672897196,0.19,0.31301482701812194,95,88,12,405
rank_mean,Tx3,0.9,0.8229323308270675,0.6203,0.31666666666666665,0.8947368421052632,0.204,0.3322475570032573,102,88,12,398
rank_mean,Tx4,0.9,0.8229323308270675,0.57202,0.2833333333333333,0.8723404255319149,0.164,0.2760942760942761,82,88,12,418
rank_mean,Tx5,0.9,0.8229323308270675,0.60645,0.3,0.8846153846153846,0.184,0.304635761589404,92,88,12,408
rank_mean,Tx6,0.9,0.8229323308270675,0.59201,0.31666666666666665,0.8947368421052632,0.204,0.3322475570032573,102,88,12,398
rank_mean,Tx7,0.9,0.8229323308270675,0.61498,0.325,0.8991596638655462,0.214,0.34571890145395795,107,88,12,393
rank_mean,Tx8,0.9,0.8229323308270675,0.57325,0.285,0.8736842105263158,0.166,0.27899159663865547,83,88,12,417
rank_mean,Tx2,0.95,0.8922932330827067,0.56485,0.295,0.9529411764705882,0.162,0.27692307692307694,81,96,4,419
rank_mean,Tx3,0.95,0.8922932330827067,0.6203,0.3,0.9545454545454546,0.168,0.28571428571428575,84,96,4,416
rank_mean,Tx4,0.95,0.8922932330827067,0.57202,0.25166666666666665,0.9322033898305084,0.11,0.19677996422182467,55,96,4,445
rank_mean,Tx5,0.95,0.8922932330827067,0.60645,0.29,0.9512195121951219,0.156,0.26804123711340205,78,96,4,422
rank_mean,Tx6,0.95,0.8922932330827067,0.59201,0.3,0.9545454545454546,0.168,0.28571428571428575,84,96,4,416
rank_mean,Tx7,0.95,0.8922932330827067,0.61498,0.2966666666666667,0.9534883720930233,0.164,0.27986348122866894,82,96,4,418
rank_mean,Tx8,0.95,0.8922932330827067,0.57325,0.25166666666666665,0.9322033898305084,0.11,0.19677996422182467,55,96,4,445
rank_mean,Tx2,0.97,0.9226190476190477,0.56485,0.2833333333333333,0.9487179487179487,0.148,0.2560553633217993,74,96,4,426
rank_mean,Tx3,0.97,0.9226190476190477,0.6203,0.2916666666666667,0.9518072289156626,0.158,0.27101200686106347,79,96,4,421
rank_mean,Tx4,0.97,0.9226190476190477,0.57202,0.23833333333333334,0.9215686274509803,0.094,0.1705989110707804,47,96,4,453
rank_mean,Tx5,0.97,0.9226190476190477,0.60645,0.27666666666666667,0.9459459459459459,0.14,0.24390243902439027,70,96,4,430
rank_mean,Tx6,0.97,0.9226190476190477,0.59201,0.29,0.9512195121951219,0.156,0.26804123711340205,78,96,4,422
rank_mean,Tx7,0.97,0.9226190476190477,0.61498,0.28833333333333333,0.9506172839506173,0.154,0.26506024096385544,77,96,4,423
rank_mean,Tx8,0.97,0.9226190476190477,0.57325,0.225,0.9069767441860465,0.078,0.14364640883977903,39,96,4,461
rank_max,Tx2,0.9,0.9674185463659147,0.57002,0.3016666666666667,0.8857142857142857,0.186,0.3074380165289256,93,88,12,407
rank_max,Tx3,0.9,0.9674185463659147,0.60418,0.32166666666666666,0.8974358974358975,0.21,0.3403565640194489,105,88,12,395
rank_max,Tx4,0.9,0.9674185463659147,0.58503,0.28,0.8695652173913043,0.16,0.2702702702702703,80,88,12,420
rank_max,Tx5,0.9,0.9674185463659147,0.60689,0.33,0.9016393442622951,0.22,0.35369774919614144,110,88,12,390
rank_max,Tx6,0.9,0.9674185463659147,0.59792,0.3283333333333333,0.9008264462809917,0.218,0.3510466988727858,109,88,12,391
rank_max,Tx7,0.9,0.9674185463659147,0.62655,0.33166666666666667,0.9024390243902439,0.222,0.35634028892455855,111,88,12,389
rank_max,Tx8,0.9,0.9674185463659147,0.58175,0.28833333333333333,0.8762886597938144,0.17,0.28475711892797323,85,88,12,415
rank_max,Tx2,0.95,0.9874686716791979,0.57002,0.285,0.927710843373494,0.154,0.2641509433962264,77,94,6,423
rank_max,Tx3,0.95,0.9874686716791979,0.60418,0.305,0.9368421052631579,0.178,0.2991596638655462,89,94,6,411
rank_max,Tx4,0.95,0.9874686716791979,0.58503,0.24666666666666667,0.9,0.108,0.19285714285714284,54,94,6,446
rank_max,Tx5,0.95,0.9874686716791979,0.60689,0.305,0.9368421052631579,0.178,0.2991596638655462,89,94,6,411
rank_max,Tx6,0.95,0.9874686716791979,0.59792,0.2966666666666667,0.9333333333333333,0.168,0.28474576271186447,84,94,6,416
rank_max,Tx7,0.95,0.9874686716791979,0.62655,0.305,0.9368421052631579,0.178,0.2991596638655462,89,94,6,411
rank_max,Tx8,0.95,0.9874686716791979,0.58175,0.24333333333333335,0.896551724137931,0.104,0.18637992831541214,52,94,6,448
rank_max,Tx2,0.97,0.9924812030075187,0.57002,0.2816666666666667,0.9259259259259259,0.15,0.25817555938037867,75,94,6,425
rank_max,Tx3,0.97,0.9924812030075187,0.60418,0.2966666666666667,0.9333333333333333,0.168,0.28474576271186447,84,94,6,416
rank_max,Tx4,0.97,0.9924812030075187,0.58503,0.23666666666666666,0.8888888888888888,0.096,0.1732851985559567,48,94,6,452
